Judul_Film,Tahun,Genre
Bismillah Kunikahi Suamimu,2023,Percintaan
Kiko in The Deep Sea,2023,Anak-anak
Pesugihan: Bersekutu dengan Iblis,2023,Horor
Berbalas Kejam,2023,Misteri
Para Betina Pengikut Iblis,2023,Horor
Cherish & Ruelle,2023,Drama
Gita Cinta dari SMA,2023,Remaja
Dear David,2023,Drama
Waktu Maghrib,2023,Horor
Jalan yang Jauh Jangan Lupa Pulang,2023,Drama
Tanpa Ampun,2023,Laga
Tasbih Kosong,2023,Horor
Mangkujiwo 2,2023,Horor
Adagium,2023,
Autobiography,2022,Mendebarkan atau Menegangkan
Scandal Makers,2023,Drama
Balada si Roy,2023,Remaja
Bayi Ajaib,2023,Horor
Layar,2023,Drama
The Day Before the Wedding,2023,Drama
Hidayah,2023,Horor
Anak Titipan Setan,2023,Horor
Alena Anak Ratu Iblis,2023,Horor
Puisi Cinta yang Membunuh,2023,Mendebarkan atau Menegangkan
KKN di Desa Penari: Luwih Dowo Luwih Medeni,2022,Horor
Argantara,2022,Drama
Cek Toko Sebelah 2,2022,
Harmoni Cinta Bhinn Dan Eka,2022,Drama
Tumbal Kanjeng Iblis,2022,Horor
Ratu Dansa,2022,Drama
Ayo Putus,2022,
The Big 4,2022,
Cross the Line,2022,Drama
Like & Share,2022,Drama
Nagih Janji Cinta,2022,Drama
Qorin,2022,Horor
2045 Apa Ada Cinta,2022,Drama
Evakuasi Mama Emola,2022,
Keramat 2: Caruban Larang,2022,Horor
Tegar,2022,Drama
Anoksia,2022,Drama
Uti Deng Keke,2022,Drama
Pesantren,2022,
Ashiap Man,2022,Laga
Sri Asih,2022,Laga
Before I Met You,2022,
Perempuan Bergaun Merah,2022,Horor
Nariti: Romansa Danau Toba,2022,Drama
Qodrat,2022,Horor
"Crazy, Stupid, Love",2022,
Rumah Kaliurang,2022,Horor
Perfect Strangers,2022,Mendebarkan atau Menegangkan
Galang,2022,Drama
Inang,2022,Horor
Kalian Pantas Mati,2022,Horor
Pamali,2022,Horor
Preman,2021,
Jagat Arwah,2022,
Until Tomorrow,2022,Drama
Jailangkung: Sandekala,2022,Horor
Gendut Siapa Takut?!,2022,
Noktah Merah Perkawinan,2022,Drama
Lara Ati,2022,
48 Jam untuk Indah,2022,Drama
Miracle in Cell No 7,2022,Drama
Mendarat Darurat,2022,
Mumun,2022,Horor
Jodohku yang Mana?,2022,
Mertua vs Menantu,2022,
